YEAR,GEO,FUEL,SUPPLY
1995,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
1996,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
1997,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
1998,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
1999,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2000,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2001,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2002,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2003,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2004,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2005,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2006,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2007,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2008,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2009,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2010,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2011,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2012,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2013,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2014,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2015,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
2016,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Residential
1997,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
1998,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
1999,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2000,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2001,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2002,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2003,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2004,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2005,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2006,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2007,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2008,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2009,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2010,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2011,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2012,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2013,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2014,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2015,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
2016,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Public administration
1995,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
1996,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
1997,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
1998,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
1999,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2000,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2001,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2002,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2003,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2004,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2005,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2006,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2007,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2008,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2009,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2010,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2011,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2012,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2013,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2014,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2015,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
2016,"Yukon, Northwest Territories and Nunavut","Primary electricity, hydro and nuclear (gigawatt hours)",Commercial and other institutional
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Availability
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by utilities
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by utilities
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by utilities
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by utilities
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by industry
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by industry
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by industry
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Transformed to electricity by industry
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Net supply
1995,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
1996,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
1997,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
1998,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,"Energy use, final demand"
1995,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
1996,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
1997,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
1998,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total industrial
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Mining and oil and gas extraction
1995,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
1996,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
1997,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
1998,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total manufacturing
1995,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
1996,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
1997,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
1998,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,All other manufacturing
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Forestry and logging and support activities for forestry
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Forestry and logging and support activities for forestry
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Forestry and logging and support activities for forestry
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Forestry and logging and support activities for forestry
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Forestry and logging and support activities for forestry
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Construction
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total transportation
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Railways
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total airlines
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Canadian airlines
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Foreign airlines
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Total marine
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2013,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2014,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2015,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
2016,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Domestic marine
1999,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2000,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2001,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2002,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2003,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2004,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2005,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2006,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2007,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2008,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2009,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2010,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2011,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
2012,"Yukon, Northwest Territories and Nunavut",refined petroleum products,Pipelines
